Author,Date,Text,Retweet?,Polarity_SW,Polarity_NSW,User Location,User_Follower_Count,Longitude,Latitude
RealFastNova,2019-12-12 12:41:11,take vote impeachment personal attack right choose president. matte,False,0.14285714285714285,0.14285714285714285,"Texas, USA",17467,,
Barbara72468224,2019-12-12 12:41:11,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Cedar Hill, TX",9536,,
MaryRamji,2019-12-12 12:41:11,New Polls Say Americans Oppose Impeachment. nothing wrong. first Impeach,True,0.09659090909090909,-0.03787878787878788,,2921,,
ZwRozvi,2019-12-12 12:41:11,"Knowledge bombs, thread. Killer last line, too.",True,0.0,0.0,Zimbabwe,300,,
AnthonyMulquin2,2019-12-12 12:41:11,"Jordan again. afternoon 445, Democrats said Republicans must submit amendments ridiculous impeachme",True,-0.3333333333333333,-0.3333333333333333,"Mittagong, Bowral - Mittagong",5300,,
RepublicEagle1,2019-12-12 12:41:11,lot moderate Dems recognize political loser impeachment is. They're encouraging leadersh,True,0.0,0.0,America,5804,,
Parker_Rush,2019-12-12 12:41:11,Since articles impeachment amended new charges pertinent,False,0.005681818181818177,0.13636363636363635,,803,,
pyromanfo,2019-12-12 12:41:11,oh god please someone ask thinks impeached,True,0.0,0.0,"Lexington, KY",1064,,
anndursan,2019-12-12 12:41:11,FLOOD PHONE LINES sure call congressional representative express outrage sham impeachment,True,0.15,0.15,United States,18,,
reidmt1,2019-12-12 12:41:11,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,,626,,
Ted_fafa,2019-12-12 12:41:11,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,USA!,340,,
Kathykhat2,2019-12-12 12:41:11,Excellent video.,False,1.0,1.0,Arkansas,2191,,
jeffaschwarz,2019-12-12 12:41:11,Kurt answers question always yelling,True,0.0,0.0,North NJ,562,,
cmwarren007,2019-12-12 12:41:11,one cares impeachment. Major media outlets even polling it. Stocks ignoring it. China ignorin,True,0.0625,0.0625,"Beachside, FL",3327,,
Stevenmuss69,2019-12-12 12:41:11,Kurt answers question always yelling,True,0.0,0.0,"California, USA",957,,
thisisrhonda,2019-12-12 12:41:11,Abuse Power crime worthy Impeachment? means President EVER signed Executive Order byp,True,0.3333333333333333,0.3333333333333333,,1006,,
ish10040,2019-12-12 12:41:11,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,,10882,,
RedStRising,2019-12-12 12:41:11,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,South Georgia,3975,,
katland1031,2019-12-12 12:41:11,amazingly damning admission,True,0.6000000000000001,0.6000000000000001,,614,,
Stiffie19,2019-12-12 12:41:11,literally everything shes accused,True,0.0,0.0,,1304,,
e_maescott,2019-12-12 12:41:11,facts horrific control process? Simple cheat like hell hope nobody noti,True,-0.5,-0.5,,1179,,
aurorakangaspuu,2019-12-12 12:41:11,"us took oath uphold Constitution, says vulnerable Democrats swing districts amid impea",True,-0.5,-0.5,Northeast US/the Nordic Realm,116,,
dow_87,2019-12-12 12:41:11,"1868, House Republicans voted impeach Andrew Johnson without single Democratic vote drew articl",True,-0.03571428571428571,-0.07142857142857142,"Mars, SS",79,,
LouLouKing8,2019-12-12 12:41:11,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,VA,2268,,
DeeYoun72318535,2019-12-12 12:41:11,"1998, midst Clinton impeachment, Chris Matthews asked businessman Donald Trump advice would Pres",True,0.0,0.0,"North Carolina, USA",454,,
neojosemo,2019-12-12 12:41:11,lot moderate Dems recognize political loser impeachment is. They're encouraging leadersh,True,0.0,0.0,,7823,,
kise_q,2019-12-12 12:41:11,"Pelosis sham, partisan impeachment cost caucus members careers. 2 campaign polls, NM &amp; PA",True,0.15,-0.2,Hong Kong,4373,,
amy19982105,2019-12-12 12:41:12,BREAKING House Democrats announced continue pursue impeachment President Trump even AFT,True,0.0,0.0,"Columbia City, IN",35,,
TruthJack1,2019-12-12 12:41:12,Happy Impeachment day.,False,0.8,0.8,,4,,
crudstud,2019-12-12 12:41:12,started coup? HRC/Obama paidfor fake dossier get info HRC political opponent Trump. Trump Deep,True,-0.16666666666666666,-0.16666666666666666,,128,,
SpyMail,2019-12-12 12:41:12,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,Earth,13512,,
boothatcher1,2019-12-12 12:41:12,Makes wonder hes done something even worse dont know about.,True,-0.4,-0.4,,412,,
legal_imm1,2019-12-12 12:41:12,lot moderate Dems recognize political loser impeachment is. They're encouraging leadersh,True,0.0,0.0,"Raleigh, NC🙏🏼❤️🇱🇷💪🚂",1833,,
KimmyMRobinson,2019-12-12 12:41:12,"Jim Jordan yells facts you, argue law. law you, argue facts.",True,0.0,0.0,"Texas, USA",663,,
EwaldEdward,2019-12-12 12:41:12,"X Watch closely, people. Watch every day. history children learn. history GREATES",True,0.0,0.0,Michigan,33,,
superbowlxxvi,2019-12-12 12:41:12,Joe Love rep lujan great guest isnt impeachment crimes n misdemeanor n public opinion,False,0.43333333333333335,0.43333333333333335,Ohio ,119,,
RedWaveArmy1,2019-12-12 12:41:13,Impeachment Deeply Unpopular Key Swing Congressional Districts,False,0.0,0.0,United States,1901,,
PierreTombale_1,2019-12-12 12:41:13,Important Video AllTime . corrupt establishment stop Trump electe,True,0.13333333333333333,-0.04999999999999999,,280,,
DianaBahrin,2019-12-12 12:41:13,"experience korean supplier said najib 1mdb, said, Hahahahha true like",True,0.11666666666666665,0.35,"Kamunting, Perak.",531,,
rgigger,2019-12-12 12:41:13,smart piece explains Repub strategy yelling loathsome Americans want watch inform,True,0.21428571428571427,0.21428571428571427,"Salt Lake City, UT",611,,
